sigma,S,pinn_price,analytical_price,abs_error,rel_error,region
0.1,631.2600000016499,531.2591552734375,528.6966798119956,2.5624754614418634,0.004846778047392086,in_domain
0.1,635.0400000016,535.00537109375,532.4766798119457,2.5286912818042993,0.004748923995502216,in_domain
0.1,638.8200000015499,538.7505493164062,536.2566798118957,2.4938695045105987,0.004650514573329661,in_domain
0.1,642.6000000015,542.4940795898438,540.0366798118457,2.4573997779980346,0.004550431238956246,in_domain
0.1,646.38000000145,546.2352294921875,543.8166798117957,2.418549680391834,0.004447362080230505,in_domain
0.1,650.1600000014,549.9729614257812,547.5966798117457,2.37628161403552,0.004339474108667796,in_domain
0.1,653.94000000135,553.7063598632812,551.3766798116957,2.3296800515855693,0.004225205992355705,in_domain
0.1,657.7200000012999,557.43408203125,555.1566798116456,2.277402219604369,0.004102269327601443,in_domain
0.1,661.50000000125,561.155029296875,558.9366798115957,2.2183494852793046,0.003968874409936842,in_domain
0.1,665.2800000011999,564.867431640625,562.7166798115456,2.150751829079354,0.003822086506836163,in_domain
0.1,669.06000000115,568.5697631835938,566.4966798114957,2.07308337209804,0.003659480180515564,in_domain
0.1,672.8400000011,572.2603759765625,570.2766798114457,1.9836961651168394,0.003478480245365674,in_domain
0.1,676.62000000105,575.9370727539062,574.0566798113957,1.8803929425105252,0.0032756224405024285,in_domain
0.1,680.400000001,579.5982666015625,577.8366798113457,1.7615867902168247,0.0030485894228659115,in_domain
0.1,684.1800000009499,583.241455078125,581.6166798112956,1.6247752668293742,0.0027935499844270787,in_domain
0.1,687.9600000009,586.86474609375,585.3966798112457,1.46806628250431,0.0025078145010622045,in_domain
0.1,691.7400000008499,590.4656982421875,589.1766798111956,1.2890184309918595,0.002187830026478528,in_domain
0.1,695.5200000008,594.0420532226562,592.9566798111457,1.0853734115105453,0.0018304430128963762,in_domain
0.1,699.30000000075,597.5914306640625,596.7366798110957,0.8547508529668448,0.001432375253415672,in_domain
0.1,703.0800000007,601.1116333007812,600.5166798110457,0.5949534897355306,0.0009907359940821868,extrapolation
0.1,706.86000000065,604.6000366210938,604.2966798109957,0.30335681009808013,0.0005019997961811742,extrapolation
0.1,710.6400000006,608.0546264648438,608.0766798109457,0.02205334610198406,3.626737685260445e-05,extrapolation
0.1,714.42000000055,611.4729614257812,611.8566798108957,0.38371838511443457,0.0006271376905340463,extrapolation
0.1,718.2000000004999,614.8528442382812,615.6366798108456,0.7838355725643851,0.0012732112920971806,extrapolation
0.1,721.98000000045,618.1921997070312,619.4166798107957,1.2244801037644493,0.0019768277860042027,extrapolation
0.1,725.7600000003999,621.4890747070312,623.1966798107456,1.7076051037143998,0.0027400741355569653,extrapolation
0.1,729.54000000035,624.7415161132812,626.9766798106957,2.235163697414464,0.0035649869754156268,extrapolation
0.1,733.3200000003,627.94775390625,630.7566798106457,2.8089259043956645,0.004453263824711153,extrapolation
0.1,737.10000000025,631.1060791015625,634.5366798105957,3.4306007090332287,0.005406465564854716,extrapolation
0.1,740.8800000002,634.2151489257812,638.3166798105457,4.101530884764429,0.006425542390623062,extrapolation
0.1,744.6600000001499,637.2735595703125,642.0966798104956,4.82312024018313,0.007511517177766119,extrapolation
0.1,748.4400000001,640.2802124023438,645.8766798104457,5.596467408101944,0.008664916357940677,extrapolation
0.1,752.2200000000499,643.23388671875,649.6566798103956,6.422793091645644,0.009886442010447975,extrapolation
0.1,756.0,646.1340942382812,653.4366798103457,7.302585572064459,0.011175659092452493,extrapolation
0.25,1e-08,-2.605036497116089,0.0,2.605036497116089,nan,in_domain
0.25,3.7800000099499997,-2.634565591812134,3.595168342432944e-21,2.634565591812134,nan,in_domain
0.25,7.5600000098999995,-2.648138999938965,1.0405271796012642e-13,2.6481389999390688,nan,in_domain
0.25,11.34000000985,-2.6431217193603516,4.281437321305207e-10,2.6431217197884953,6173444853.7547035,in_domain
0.25,15.1200000098,-2.6166253089904785,7.310632284633208e-08,2.6166253820968013,35792053.001993984,in_domain
0.25,18.90000000975,-2.565502405166626,2.557908931775212e-06,2.5655049630755578,1002969.6253865745,in_domain
0.25,22.6800000097,-2.486358880996704,3.5411115737963217e-05,2.486394292112442,70215.07908735142,in_domain
0.25,26.46000000965,-2.375619411468506,0.0002696274337363894,2.3758890389022422,8811.7481443862,in_domain
0.25,30.2400000096,-2.229435443878174,0.001360177626515231,2.230795621504689,1640.0766914685823,in_domain
0.25,34.020000009549996,-2.0436599254608154,0.005096824616859098,2.0487567500776747,401.9672843560025,in_domain
0.25,37.800000009499996,-1.8139984607696533,0.015287007331249852,1.8292854681009032,119.66275860687655,in_domain
0.25,41.580000009449996,-1.5356844663619995,0.038626348571295155,1.5743108149332947,40.757433025994864,in_domain
0.25,45.3600000094,-1.2039250135421753,0.08526654918773935,1.2891915627299146,15.119546586685253,in_domain
0.25,49.14000000935,-0.8135470151901245,0.16888155065519528,0.9824285658453198,5.817264005652932,in_domain
0.25,52.9200000093,-0.35910215973854065,0.306190684020172,0.6652928437587127,2.1728056354414846,in_domain
0.25,56.70000000925,0.16511383652687073,0.5160405559457715,0.35092671941890075,0.6800370927741155,in_domain
0.25,60.4800000092,0.7649854421615601,0.8182296633125805,0.053244221151020454,0.06507246502829374,in_domain
